Address,Brownfield,County,"Danger Level","Water Amount"
"2195 ELIZABETH AVE.",N/A,UNION,1,"0 Pounds"
"2199 STANLEY TERRACE",N/A,UNION,1,"0 Pounds"
"219 MURRAY HILL PKY.",N/A,BERGEN,1,"0 Pounds"
"21 CAMPUS RD.",N/A,PASSAIC,1,"0 Pounds"
"21 COTLUSS RD.",N/A,MORRIS,1,"0 Pounds"
"21 HARRISON AVE",N/A,BERGEN,1,"0 Pounds"
"21 HENDERSON DR",N/A,ESSEX,1,"0 Pounds"
"21 INDUSTRIAL DR.",N/A,MIDDLESEX,1,"0 Pounds"
"21 WALLACE ST.",N/A,BERGEN,1,"0 Pounds"
"220 PEGASUS AVE",N/A,BERGEN,1," Pounds"
"222 BRIDGE PLAZA S.",N/A,BERGEN,1," Pounds"
"225 BELLEVILLE AVE.",N/A,ESSEX,1,"0 Pounds"
"225 PASSAIC ST",N/A,PASSAIC,1,"0 Pounds"
"225 THROCKMORTON ST",N/A,MONMOUTH,1,"0 Pounds"
"225 WILLOWBROOK RD",N/A,MONMOUTH,1,"0 Pounds"
"2270 MORRIS AVE",N/A,UNION,2,"0 Pounds"
"229 E 22ND ST",N/A,HUDSON,2,"0 Pounds"
"22 DANIEL RD E",N/A,ESSEX,1,"0 Pounds"
"22 SOUTH AVE",N/A,UNION,1,"0 Pounds"
"22 SPRING VALLEY RD.",N/A,BERGEN,1,"0 Pounds"
"230 CULVER AVE",N/A,HUDSON,1,"0 Pounds"
"230 KEARNEY AVE",N/A,HUDSON,1,"0 Pounds"
"2330 VAUXHALL RD.",N/A,UNION,1,"0 Pounds"
"233 CLIFTON BLVD",N/A,PASSAIC,1,"0 Pounds"
"235 E ELEVENTH AVE",N/A,UNION,1,"0 Pounds"
"235 MURRAY HILL PKY.",N/A,BERGEN,1," Pounds"
"235 SNYDER AVE",N/A,UNION,1,"0 Pounds"
"238 W FORT LEE RD",N/A,BERGEN,1,"0 Pounds"
"238 W FORT LEE RD",N/A,BERGEN,1," Pounds"
"239 SAINT NICHOLAS AVE",N/A,MIDDLESEX,1,"0 Pounds"
"2400 VAUXHALL RD.",N/A,UNION,1,"0 Pounds"
"240 MULBERRY ST.",N/A,ESSEX,1,"0 Pounds"
"24 1/2 VAN HOUTEN ST.",N/A,PASSAIC,2," Pounds"
"244 HAZEL ST.",N/A,PASSAIC,1,"0 Pounds"
"245 MERRY LN",N/A,MORRIS,1,"0 Pounds"
"24 AMES BLVD",N/A,SUSSEX,1,"0 Pounds"
"24 AVE. B",N/A,ESSEX,2,"0 Pounds"
"24 BELLEVILLE AVE",N/A,ESSEX,1,"0 Pounds"
"24  FEDERAL  PLAZA",N/A,ESSEX,1," Pounds"
"24 JACOBUS AVE.",N/A,HUDSON,1,"0 Pounds"
"24 PARK AVE.",N/A,PASSAIC,1,"0 Pounds"
"2500 BRUNSWICK AVE",N/A,UNION,1,"0 Pounds"
"250 E. 22ND ST.",N/A,HUDSON,1,"0 Pounds"
"250 HALLS MILL RD",N/A,MONMOUTH,1,"0 Pounds"
"250 HAMBURG TURNPIKE",N/A,MORRIS,1,"0 Pounds"
"2530 POLK ST",N/A,UNION,1,"0 Pounds"
"2530 POLK ST",N/A,UNION,1," Pounds"
"255 BLAIR RD",N/A,MIDDLESEX,1,"0 Pounds"
"256 VANDERPOOL ST.",N/A,ESSEX,2,"0 Pounds"
"25 ARROW RD.",N/A,BERGEN,1,"0 Pounds"
"25 BRIGHTON AVE.",N/A,PASSAIC,1,"0 Pounds"
"25 CHOBOT LN.",N/A,BERGEN,1,"0 Pounds"
"25 MADISON RD.",N/A,PASSAIC,1,"0 Pounds"
"25 MCWHORTER ST",N/A,ESSEX,1,"250 Pounds"
"25 RIVERSIDE DR.",N/A,MORRIS,1,"0 Pounds"
"2600 MARSHES DOCK RD",N/A,UNION,2,"0 Pounds"
"260 RAILROAD AVE",N/A,BERGEN,1,"0 Pounds"
"265-77 BADGER AVE",N/A,ESSEX,1,"0 Pounds"
"267 HOMESTEAD AVE",N/A,MIDDLESEX,1," Pounds"
"267 UNION ST",N/A,BERGEN,1,"0 Pounds"
"268 DOREMUS AVE",N/A,ESSEX,2,"0 Pounds"
"268 DOREMUS AVE",N/A,ESSEX,2," Pounds"
"26 BLANCHARD ST",N/A,ESSEX,1,"0 Pounds"
"26 HANES DR",N/A,PASSAIC,1," Pounds"
"26 JEFFERSON ST.",N/A,PASSAIC,1,"0 Pounds"
"2-6 LISTER AVE.",N/A,ESSEX,3,"0 Pounds"
"270 CLIFTON BLVD",N/A,PASSAIC,1,"0 Pounds"
"270 PASSAIC AVE.",N/A,PASSAIC,1,"0 Pounds"
"271 MAYHILL ST",N/A,BERGEN,1,"0 Pounds"
"27 1ST ST.",N/A,ESSEX,1,"0 Pounds"
"273 BRANCHPORT AVE",N/A,MONMOUTH,1,"0 Pounds"
"274 SOUTH ST.",N/A,MORRIS,1," Pounds"
"275 CLARK ST",N/A,MONMOUTH,1," Pounds"
"277 FAIRFIELD RD.",N/A,ESSEX,1,"0 Pounds"
"27 E. 33RD ST.",N/A,PASSAIC,1,"0 Pounds"
"27 E. 33 ST.",N/A,PASSAIC,1,"0 Pounds"
"27 EIGHTH ST.",N/A,PASSAIC,1,"0 Pounds"
"27 HAYNES AVE.",N/A,ESSEX,1,"0 Pounds"
"27 KENTUCKY AVE.",N/A,PASSAIC,1,"0 Pounds"
"280 CHESTNUT ST.",N/A,ESSEX,1,"0 Pounds"
"280 MIDLAND AVE",N/A,BERGEN,1,"0 Pounds"
"280 MIDLAND AVE.",N/A,BERGEN,1,"0 Pounds"
"28-36 PATERSON ST",N/A,PASSAIC,1," Pounds"
"285 EMMET ST.",N/A,ESSEX,1,"0 Pounds"
"2901 HAMILTON BLVD",N/A,MIDDLESEX,1,"0 Pounds"
"290 RIVER DR.",N/A,BERGEN,1,"0 Pounds"
"297 FERRY ST",N/A,ESSEX,1,"0 Pounds"
"299 PACIFIC ST",N/A,ESSEX,1,"0 Pounds"
"299 WEBRO RD",N/A,MORRIS,1,"0 Pounds"
"29 HANOVER RD",N/A,MORRIS,1,"0 Pounds"
"2 ACKERMAN RD",N/A,PASSAIC,1,"0 Pounds"
