Address,"Clean Air Act","Fugair Amount",PBT,"Water Amount"
"155 E. HANOVER AVE.",Yes,"275 Pounds",NON_PBT,"0 Pounds"
"155 RAYMOND BLVD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"158 MT OLIVET AVE",No,"804 Pounds",NON_PBT,"0 Pounds"
"158 MT OLIVET AVE",Yes,"3800 Pounds",NON_PBT,"0 Pounds"
"1595 MACARTHUR BLVD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"15 CINDY LN.",No,"250 Pounds",NON_PBT,"0 Pounds"
"15 MERCEDES DR",No,"0 Pounds",NON_PBT,"0 Pounds"
"15 MERCEDES DR",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1-5 PLANT RD.",No,"0 Pounds",NON_PBT," Pounds"
"1-5 PLANT RD.",Yes,"0 Pounds",NON_PBT," Pounds"
"1-5 PLANT RD.",Yes,"2605 Pounds",NON_PBT," Pounds"
"160 ALGONQUIN PKWY.",No,"250 Pounds",NON_PBT,"0 Pounds"
"160 E UNION AVE",No,"8 Pounds",NON_PBT,"0 Pounds"
"160 E UNION AVE",Yes,"47 Pounds",NON_PBT,"0 Pounds"
"160 PASSAIC AVE.",No,"0 Pounds",NON_PBT,"0 Pounds"
"160 TERMINAL AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"161 COOLIDGE AVE.",Yes,"53 Pounds",NON_PBT,"0 Pounds"
"161 RAILROAD AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"16 1ST AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"161 W CLAY AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"162 VETERANS DR",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"1631 PATERSON PLANK RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"164 N 13TH ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"168 8TH AVE.",No,"250 Pounds",NON_PBT,"0 Pounds"
"168 8TH AVE.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"169 KENNEDY DR.",No,"5 Pounds",NON_PBT,"0 Pounds"
"16 LAW DR",No," Pounds",NON_PBT," Pounds"
"16 LAW DR",Yes," Pounds",NON_PBT," Pounds"
"16 LELIARTS LN",No,"0 Pounds",NON_PBT,"0 Pounds"
"16 LELIARTS LN",No,"4 Pounds",NON_PBT,"0 Pounds"
"16 LELIARTS LN",Yes,"1 Pounds",NON_PBT,"0 Pounds"
"16 RICHMOND ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1700 W. FRONT ST.",No," Pounds",NON_PBT," Pounds"
"1700 W. FRONT ST.",Yes," Pounds",NON_PBT," Pounds"
"1701 75TH ST",Yes,"885 Pounds",NON_PBT,"0 Pounds"
"17-01 NEVINS RD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1702 BEVERLY RD",No," Pounds",NON_PBT," Pounds"
"1702 BEVERLY RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1702 BEVERLY RD",Yes," Pounds",NON_PBT," Pounds"
"170 BLANCHARD ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"171-191 CALDWELL AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"171-191 CALDWELL AVE",No,"1 Pounds",NON_PBT,"0 Pounds"
"171-191 CALDWELL AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1717 PATERSON PLANK RD.",Yes,"39488 Pounds",NON_PBT,"0 Pounds"
"171 S NEWMAN ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"175 RTE. 208",No,"174 Pounds",NON_PBT,"0 Pounds"
"175 RTE. 208",Yes,"12 Pounds",NON_PBT,"0 Pounds"
"175 RTE. 208",Yes,"157 Pounds",NON_PBT,"0 Pounds"
"175 RTE. 208",Yes,"408 Pounds",NON_PBT,"0 Pounds"
"175 TERMINAL AVE.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"176 THOMAS RD",No,"15 Pounds",NON_PBT,"5 Pounds"
"176 THOMAS RD",Yes,"15 Pounds",NON_PBT,"5 Pounds"
"179 GOFFLE RD",Yes,"39 Pounds",NON_PBT,"0 Pounds"
"179 GOFFLE RD",Yes,"59 Pounds",NON_PBT,"0 Pounds"
"179 MADISON ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"179 MADISON ST.",No," Pounds",NON_PBT," Pounds"
"17 BLANCHARD ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"17 COMMERCE RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"17 EMPIRE BLVD.",Yes,"9300 Pounds",NON_PBT,"0 Pounds"
"17 STEWART PL.",No,"0 Pounds",NON_PBT,"0 Pounds"
"17 WEST ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"17 WEST ST.",No,"926 Pounds",NON_PBT,"0 Pounds"
"17 WEST ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1804 RIVER RD",No," Pounds",NON_PBT," Pounds"
"1804 RIVER RD",Yes,".15 Pounds",NON_PBT,"0 Pounds"
"1804 RIVER RD",Yes," Pounds",NON_PBT," Pounds"
"180 E. UNION AVE.",Yes,"798 Pounds",NON_PBT,"0 Pounds"
"180 E. UNION AVE.",Yes,".83 Pounds",NON_PBT,"0 Pounds"
"1818 RIVER RD",Yes,"0 Pounds",NON_PBT,".2 Pounds"
"181 SARGENT AVE",Yes,"152 Pounds",NON_PBT,"0 Pounds"
"182 TABOR RD.",Yes,"5 Pounds",NON_PBT,"0 Pounds"
"18-35 RIVER RD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"185 FOUNDRY ST",Yes,"35000 Pounds",NON_PBT,"0 Pounds"
